Date,Payment,Additional,Principle,Interest,Escrow,Balance
2016-06-01,1128.04,21.96,291.21,539.52,297.31,184686.83
2016-07-01,1128.04,21.96,292.12,538.61,297.31,184372.75
2016-08-01,1128.04,21.96,292.98,537.75,297.31,184057.81
2016-09-01,1128.04,71.96,294.10,536.63,297.31,183691.75
2016-10-01,1128.04,71.96,295.17,535.56,297.31,183324.62
2016-11-01,1128.04,71.96,296.24,534.49,297.31,182956.42
2016-12-01,1128.04,71.96,297.32,533.41,297.31,182587.14
2017-01-01,1128.04,71.96,298.39,532.34,297.31,182216.79
2017-02-01,1128.04,71.96,299.26,531.47,297.31,181845.57
2017-03-01,1128.04,71.96,300.56,530.17,297.31,181473.05
2017-04-01,1128.04,71.96,301.64,529.09,297.31,181099.45
2017-05-01,1128.04,71.96,302.73,528.00,297.31,180724.76
2017-06-01,1175.00,25.00,303.69,527.04,344.27,180396.07
2017-07-01,1175.00,25.00,304.65,526.08,344.27,180066.42
2017-08-01,1175.00,0.00,305.54,525.19,369.27,179760.88
2017-09-01,1175.00,25.00,306.50,524.23,344.27,179429.38
2017-10-01,1175.00,75.00,307.61,523.13,344.27,179046.77
2017-11-01,1175.00,75.00,308.73,522.00,344.27,178663.04
2017-12-01,1165.00,290.00,310.48,520.25,344.27,178062.56
2018-01-01,1175.00,190.00,311.94,518.79,344.27,177560.62
2018-02-01,1175.00,190.00,313.40,517.33,344.27,177057.22
2018-03-01,1175.00,225.00,314.97,515.76,344.27,176517.25
2018-04-01,1175.00,225.00,316.54,514.19,344.27,175975.71
2018-05-01,1175.00,0.00,317.47,513.26,569.27,175658.24
2018-06-01,1159.00,241.00,318.39,512.34,328.27,175098.85
2018-07-01,1159.00,241.00,320.73,510.00,328.27,174537.12
2018-08-01,1159.00,291.00,322.51,508.22,328.27,173923.61
2018-09-01,1159.00,191.00,324.01,506.72,328.27,173408.60
2018-10-01,1159.00,141.00,325.37,505.36,328.27,172942.23
2018-11-01,1159.00,176.00,326.32,504.41,328.27,172439.91
2018-12-01,1159.00,176.00,328.29,502.44,328.27,171935.62
2019-01-01,1159.00,176.00,329.76,500.97,328.27,171429.86
2019-02-01,1159.00,0.00,330.73,500.00,504.27,171099.13
2019-03-01,1159.00,241.00,332.39,498.34,328.27,170525.74
2019-04-01,1159.00,241.00,334.07,496.66,328.27,169950.67
2019-05-01,1159.00,351.00,336.06,494.67,328.27,169263.61
2019-06-01,1164.00,400.00,338.21,492.52,333.27,168525.40
2019-07-01,1164.00,400.00,340.36,490.37,333.27,167785.04
2019-08-01,1164.00,400.00,342.52,488.21,333.27,167042.52
2019-09-01,1164.00,550.00,345.13,485.60,333.27,166147.39
2019-10-01,1164.00,200.00,346.72,484.01,333.27,165600.67
2019-11-01,1164.00,200.00,347.73,483.00,333.27,165052.94
2019-12-01,1164.00,0.00,349.33,481.40,333.27,164703.61
2020-01-01,1164.00,100.00,350.64,480.09,333.27,164252.97
2020-02-01,1164.00,100.00,351.95,478.78,333.27,163801.02
2020-03-01,1164.00,100.00,353.27,477.46,333.27,163347.75
2020-04-01,1164.00,150.00,354.74,475.99,333.27,162843.01
2020-05-01,1164.00,350.00,356.79,473.94,337.27,162136.22
2020-06-01,1164.00,151.91,358.28,472.45,437.36,161626.03
2020-07-01,1218.09,201.91,359.91,470.82,387.36,161064.21
2020-08-01,1218.09,231.91,361.64,469.09,387.36,160470.66
2020-09-01,1218.09,236.91,363.38,467.35,387.36,159870.37
2020-10-01,1218.09,235.00,364.44,466.29,387.36,159270.93
2020-11-01,1218.09,1000.00,366.19,464.54,387.36,157904.00
2020-12-01,1218.09,250.00,370.17,460.56,387.36,157284.57
2021-01-01,1218.09,250.00,371.98,458.75,387.36,156662.59
2021-02-01,1218.09,300.00,373.80,456.93,387.36,155988.79
2021-03-01,1218.09,300.00,375.76,454.97,387.36,155313.03
2021-04-01,1218.09,1000.00,377.73,453.00,687.36,153935.30
2021-05-01,1218.09,1000.00,381.75,448.89,387.36,152553.55
2021-06-01,1193.57,1000.00,385.78,444.95,362.84,151167.77
2021-07-01,1193.57,1000.00,389.82,440.91,362.84,149777.95
2021-08-01,1193.57,1365.00,393.88,436.82,362.84,148019.07
2021-09-01,1193.57,400.00,399.01,431.72,362.84,147220.06
2021-10-01,1193.57,150.00,401.34,429.39,362.84,146668.72
2021-11-01,1193.57,275.00,402.95,427.78,362.84,145990.77
2021-12-01,1193.57,250.00,404.92,425.81,362.84,145335.85
2022-01-01,1193.57,250.00,406.83,423.90,362.84,144679.02
2022-02-01,1193.57,250.00,408.75,421.98,362.84,144020.27
